task_id,topic_id,status,note
2026-esantion-test-1-i-1,12,approved,"Coperta 'Uniunea Sovietică-România. 1940' trimite la relațiile sovieto-române și consecințele Pactului Ribbentrop-Molotov."
2026-esantion-test-1-i-1,13,approved,"Același document poate fi folosit pentru pierderile teritoriale ale României din vara anului 1940."
2026-esantion-test-1-i-2,17,approved,"Harta împărțirii Germaniei în zone de ocupație cere o consecință a celui de-Al Doilea Război Mondial."
2026-esantion-test-1-i-3,10,approved,"Maria Cebotari este tratată ca personalitate a culturii românești în epoca contemporană/interbelică."
2026-esantion-test-1-i-4,7,approved,"Tabelul despre industria României interbelice se încadrează la România în perioada interbelică."
2026-esantion-test-1-ii-all,7,approved,"Subiectul II are suport despre reforme, Constituția din 1923, democratizare și modernizarea României interbelice."
2026-esantion-test-1-iii-essay,11,approved,"Eseul cere argumentarea menținerii păcii și securității ca obiectiv al diplomației interbelice."
2026-esantion-test-1-iii-essay,4,approved,"Sursele includ Cele 14 puncte și Pactul Societății Națiunilor, legate de ordinea internațională post-Paris."
2026-esantion-test-2-i-1,7,approved,"Coperta despre votul la români cere caracteristici ale regimurilor democratice din perioada interbelică."
2026-esantion-test-2-i-2,15,approved,"Operația Overlord este eveniment major al celui de-Al Doilea Război Mondial."
2026-esantion-test-2-i-3,15,approved,"Winston Churchill este cerut prin rolul său în cadrul celui de-Al Doilea Război Mondial."
2026-esantion-test-2-i-4,7,approved,"Tabelul despre agricultura României în 1928 ține de România în perioada interbelică."
2026-esantion-test-2-ii-all,6,approved,"Subiectul II este despre instaurarea și caracteristicile regimurilor totalitare interbelice în Germania și Italia, cu referințe la Hitler și Mussolini."
2026-esantion-test-2-iii-essay,10,approved,"Eseul este despre afirmarea culturii românești interbelice prin învățământ, literatură și artă."
2026-pretestare-test-i-1,18,approved,"Coperta despre Războiul Rece cere o caracteristică a relațiilor internaționale postbelice."
2026-pretestare-test-i-2,2,approved,"Actul unirii din 27 martie 1918 se leagă de mișcarea națională a românilor din Basarabia și Sfatul Țării."
2026-pretestare-test-i-2,3,approved,"Același item intră și la formarea statului național unitar român/Marea Unire."
2026-pretestare-test-i-3,10,approved,"Alexei Mateevici este tratat ca personalitate de cultură națională."
2026-pretestare-test-i-4,5,approved,"Tabelul despre președinții SUA în perioada interbelică ține de tema Statele Unite ale Americii."
2026-pretestare-test-ii-all,5,approved,"Subiectul II este despre Marea Depresiune, New Deal, economia SUA și impactul crizei."
2026-pretestare-test-iii-essay,3,approved,"Eseul argumentează recunoașterea internațională a Marii Uniri."
2026-pretestare-test-iii-essay,4,approved,"Sursele despre Conferința de Pace de la Paris și tratatele Saint-Germain/Trianon/Paris justifică și tema Conferinței de Pace și Noua Ordine Internațională."
2025-esantion-test-1-i-2,2,approved,"Posterul 'România la 27 martie 1918' trimite la Unirea Basarabiei și mișcarea națională basarabeană."
2025-esantion-test-1-i-2,3,approved,"Același item intră la Marea Unire și formarea statului național unitar român."
2025-esantion-test-1-i-4,7,approved,"Tabelul despre producția de cărbune și oțel în România interbelică ține de dezvoltarea României interbelice."
2025-esantion-test-1-ii-all,11,approved,"Subiectul II este despre Liga Națiunilor, securitate colectivă, Mica Înțelegere și Înțelegerea Balcanică."
2025-esantion-test-1-iii-essay,7,approved,"Eseul argumentează reformele și unificarea social-economică și politică a României interbelice."
2025-esantion-test-2-i-1,3,approved,"Coperta despre 1 Decembrie 1918 și participanții la Marea Unire se încadrează la formarea statului național unitar român."
2025-esantion-test-2-i-2,9,approved,"Harta cere scopul URSS în crearea RASSM, încadrând itemul la RASSM și politica expansionistă sovietică."
