class_id,task_id,paper_id,year,session,variant,task_ref,subject,item,task_level,page,task_text,test_path,test_url
9,2016-esantion-test-1-i-1,2016-esantion-test-1,2016,Esantion,Test 1,I.1,I,1,item,2,"1 Formulează, utilizînd informaţia din diagramă, o cauză a reformei agrare din 1921 în Basarabia. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=2
9,2016-esantion-test-1-i-2,2016-esantion-test-1,2016,Esantion,Test 1,I.2,I,2,item,2,"2 Formulează, utilizînd informaţia din tabel, o concluzie despre represiunile staliniste în URSS. Argumentează răspunsul. Tabel: GULAG-ul în anii '30 Anul 1933 Anul 1940 Lagăre 279 536 Deţinuţi 171 251 1 668 200 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=2
9,2016-esantion-test-1-i-3,2016-esantion-test-1,2016,Esantion,Test 1,I.3,I,3,item,2,3 Studiază titlul articolului. Cît de justificat din punct de vedere istoric consideri titlul propus de autor? Argumentează răspunsul. 2 3,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=2
9,2016-esantion-test-1-i-4,2016-esantion-test-1,2016,Esantion,Test 1,I.4,I,4,item,2,"4 Formulează o caracteristică a relațiilor internaționale postbelice, cu trimitere la sigla alăturată. Argumentează răspunsul. 2 3",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=2
9,2016-esantion-test-1-ii-all,2016-esantion-test-1,2016,Esantion,Test 1,II.all,II,all,section,3,"SUBIECTUL al II-lea (23 de puncte) Studiază materialul suport şi realizează sarcinile propuse. REPERE CRONOLOGICE (A). 1918: Formarea Partidului Ţărănesc din Basarabia. 1921: Constituirea Micii Înţelegeri. 1922: Constituirea guvernului liberal în frunte cu Ion I.C. Brăteanu. 1922: Semnarea Tratatului de la Paris privitor la Basarabia. 1923: Adoptarea Constituţiei României. 1924: Adoptarea Legii învăţămîntului primar al statului şi a învăţămîntului normal-primar. 1925: Adoptarea Legii pentru unificarea administrativă. 1926: Formarea Partidului Naţional Ţărănesc. 1930: Înfiinţarea Gărzii de Fier. 1933: Asasinarea prim-ministrului I.G. Duca. 1938, februarie: Adoptarea noii Constituţii a României. SURSA B. SURSA C. Harta (fragment): Organizarea administrativă a Regatului României „Vom închina toate puterile noastre consolidării Unităţii Naţionale. Vom da României întregite Constituţia aşteptată. Vom face o politică de dreptate socială, asigur înd astfel democraţiei sănătoase liniştea necesară pentru a dezvolta roadele dob îndite prin sufragiul universal. Vom desăv îrşi pentru ţărani aplicarea reformei agrare şi vom veghea la îmbunătăţirea stării lor materiale, culturale şi morale. […] Nu vom cru ţa nimic pentru a reda ţării situa ţia financiară la care are dreptul potrivit bogăţiilor şi tradiţiilor ei. […] În sfîrşit, vom căuta, prin întărirea situaţiei interne şi printr -o politică externă de pace şi demnitate, să restabilim prestigiul României în afară. […]” (Din Programul Partidului Naţional Liberal, ianuarie 1922) Nr. Item Scor 1 Studiază reperele cronologice (A). Identifică două evenimente ce demonstrează caracterul pluripartidist al regimului politic din România interbelică. 2 Studiază sursa B. 2 Explică, reieşind din conținutul sursei, semnificaţia termenului program. 2 3 Descifrează, reieşind din conținutul sursei, abrevierea PNL. Valorifică materialul suport şi cunoştinţele obținute anterior. 4 De ce PNL consideră consolidarea Unităţii Naţionale o prioritate pentru România la începutul perioadei interbelice? Explică cu trimitere la: politica internă; politica externă. 2 3 4 5 Studiază sursele A şi B. 5 Identifică în reperele cronologice (A) două evenimente ce demonstrează punerea în aplicare de către PNL a unor prevederi din program. Argumentează alegerea. 2 3 4 Studiază materialul suport. 6 Numește, utilizînd harta, o reformă realizată de PNL în vederea consolidării Unităţii Naţionale. Argumentează răspunsul cu trimitere la Basarabia. 2 3 4 Valorifică materialul suport şi cunoştinţele obținute anterior. 7 Exprimă-ţi opinia: a beneficiat România interbelică, aşa cum îşi propunea PNL, de o democraţie sănătoasă? Formulează două argumente. 2 3 4 5",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=3
9,2016-esantion-test-1-ii-1,2016-esantion-test-1,2016,Esantion,Test 1,II.1,II,1,item,4,1 Studiază reperele cronologice (A). Identifică două evenimente ce demonstrează caracterul pluripartidist al regimului politic din România interbelică.,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=4
9,2016-esantion-test-1-ii-2,2016-esantion-test-1,2016,Esantion,Test 1,II.2,II,2,item,4,"2 Explică, reieşind din conținutul sursei, semnificaţia termenului program. 2 3 Descifrează, reieşind din conținutul sursei, abrevierea PNL. Valorifică materialul suport şi cunoştinţele obținute anterior. 4 De ce PNL consideră consolidarea Unităţii Naţionale o prioritate pentru România la începutul perioadei interbelice? Explică cu trimitere la: politica internă; politica externă. 2 3 4",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=4
9,2016-esantion-test-1-ii-5,2016-esantion-test-1,2016,Esantion,Test 1,II.5,II,5,item,4,5 Identifică în reperele cronologice (A) două evenimente ce demonstrează punerea în aplicare de către PNL a unor prevederi din program. Argumentează alegerea. 2 3,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=4
9,2016-esantion-test-1-ii-4,2016-esantion-test-1,2016,Esantion,Test 1,II.4,II,4,item,4,4 Studiază materialul suport.,!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=4
9,2016-esantion-test-1-ii-6,2016-esantion-test-1,2016,Esantion,Test 1,II.6,II,6,item,4,"6 Numește, utilizînd harta, o reformă realizată de PNL în vederea consolidării Unităţii Naţionale. Argumentează răspunsul cu trimitere la Basarabia. 2 3 4 Valorifică materialul suport şi cunoştinţele obținute anterior.",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=4
9,2016-esantion-test-1-ii-7,2016-esantion-test-1,2016,Esantion,Test 1,II.7,II,7,item,5,"7 Exprimă-ţi opinia: a beneficiat România interbelică, aşa cum îşi propunea PNL, de o democraţie sănătoasă? Formulează două argumente. 2 3 4 5",!Teste examene 2016 - 2024/2016/Esantion/09_ist_test1_ro_esantion16.pdf,pdfs/2016-esantion-test-1.pdf#page=5
